"V1" 16 2,79
"V2" 18 8,37
"V3" 20 17,15
"V4" 22 18,82
"V5" 24 18,56
"V6" 26 19,80
"V7" 28 18,99
"V8" 30 19,33
"V9" 32 19,03 
"V10" 34 19,52
"V11" 36 18,82 
"V12" 38 19,62
"V13" 40 18,62
